minute_of_year,compressorStatus ,upperElementStatus ,lowerElementStatus,Ta,inputCompKWH,inputResKWH,draw,inletT,T[0],T[1],T[2],T[3],T[4],T[5],T[6],T[7],T[8],T[9],T[10],T[11],simTCouples0,simTCouples1,simTCouples2,simTCouples3,simTCouples4,simTCouples5,COP
1,0,0,0,50.000000,0.000000,0.000000,2.350000,50.000000,96.097918,132.444585,132.444585,132.444585,136.987918,136.987918,136.987918,136.987918,136.987918,136.987918,136.987918,136.987918,114.271252,132.444585,136.987918,136.987918,136.987918,136.987918,2.091199
2,0,0,0,50.000000,0.000000,0.000000,3.000000,50.000000,75.091493,104.523271,123.908160,123.908160,133.342022,136.976688,136.976688,136.976688,136.976688,136.976688,136.976688,136.976688,89.807382,123.908160,135.159355,136.976688,136.976688,136.976688,2.733875
3,1,0,0,50.000000,0.005681,0.000000,3.000000,50.000000,69.624627,84.666908,102.948500,113.287108,125.784554,134.058576,136.966309,136.966309,136.966309,136.966309,136.966309,136.966309,77.145767,108.117804,129.921565,136.966309,136.966309,136.966309,3.653936
4,1,0,0,50.000000,0.005285,0.000000,2.350000,50.000000,68.316702,77.724854,88.557219,98.768027,117.943081,128.863782,135.134390,136.956570,136.956570,136.956570,136.956570,136.956570,73.020778,93.662623,123.403432,136.045480,136.956570,136.956570,4.403977
5,1,0,0,50.000000,0.005311,0.000000,0.000000,50.000000,70.800749,77.741154,88.547451,98.758258,117.933312,128.854013,135.124621,136.946801,136.946801,136.946801,136.946801,136.946801,74.270952,93.652854,123.393663,136.035711,136.946801,136.946801,4.349843
6,1,0,0,50.000000,0.005337,0.000000,0.000000,50.000000,73.037991,77.985708,88.537657,98.748459,117.923514,128.844215,135.114823,136.937002,136.937002,136.937002,136.937002,136.937002,75.511849,93.643058,123.383864,136.025912,136.937002,136.937002,4.296689
7,1,0,0,50.000000,0.005363,0.000000,0.000000,50.000000,74.709786,78.777301,88.527865,98.738632,117.913686,128.834387,135.104995,136.927174,136.927174,136.927174,136.927174,136.927174,76.743543,93.633248,123.374037,136.016085,136.927174,136.927174,4.244499
8,1,0,0,50.000000,0.005389,0.000000,0.000000,50.000000,76.171209,79.760923,88.518179,98.728775,117.903830,128.824531,135.095138,136.917318,136.917318,136.917318,136.917318,136.917318,77.966066,93.623477,123.364180,136.006228,136.917318,136.917318,4.193257
9,1,0,0,50.000000,0.005415,0.000000,0.000000,50.000000,77.550064,80.808535,88.509011,98.718890,117.893944,128.814646,135.085253,136.907433,136.907433,136.907433,136.907433,136.907433,79.179299,93.613951,123.354295,135.996343,136.907433,136.907433,4.142946
10,1,0,0,50.000000,0.005440,0.000000,0.000000,50.000000,78.880902,81.884189,88.501934,98.708977,117.884031,128.804732,135.075340,136.897519,136.897519,136.897519,136.897519,136.897519,80.382545,93.605455,123.344381,135.986430,136.897519,136.897519,4.093550
11,1,0,0,50.000000,0.005466,0.000000,0.000000,50.000000,80.175355,82.970706,88.502673,98.699035,117.874089,128.794790,135.065398,136.887578,136.887578,136.887578,136.887578,136.887578,81.573030,93.600854,123.334440,135.976488,136.887578,136.887578,4.045054
12,1,0,0,50.000000,0.005491,0.000000,0.000000,50.000000,81.430824,84.051720,88.530374,98.689067,117.864119,128.784820,135.055428,136.877608,136.877608,136.877608,136.877608,136.877608,82.741272,93.609720,123.324470,135.966518,136.877608,136.877608,3.997442
13,1,0,0,50.000000,0.005516,0.000000,0.000000,50.000000,82.625031,85.098938,88.635788,98.679073,117.854122,128.774823,135.045431,136.867610,136.867610,136.867610,136.867610,136.867610,83.861985,93.657431,123.314472,135.956520,136.867610,136.867610,3.950700
14,1,0,0,50.000000,0.005540,0.000000,0.000000,50.000000,83.723532,86.075264,88.890634,98.669060,117.844097,128.764798,135.035406,136.857585,136.857585,136.857585,136.857585,136.857585,84.899398,93.779847,123.304447,135.946495,136.857585,136.857585,3.904811
15,1,0,0,50.000000,0.005565,0.000000,0.000000,50.000000,84.725343,86.974575,89.302192,98.659043,117.834044,128.754745,135.025353,136.847533,136.847533,136.847533,136.847533,136.847533,85.849959,93.980618,123.294395,135.936443,136.847533,136.847533,3.859761
16,1,0,0,50.000000,0.005589,0.000000,0.000000,50.000000,85.660577,87.820555,89.816817,98.649056,117.823965,128.744666,135.015274,136.837453,136.837453,136.837453,136.837453,136.837453,86.740566,94.232936,123.284315,135.926363,136.837453,136.837453,3.815535
17,1,0,0,50.000000,0.005614,0.000000,0.000000,50.000000,86.553243,88.633015,90.390794,98.639179,117.813858,128.734559,135.005167,136.827347,136.827347,136.827347,136.827347,136.827347,87.593129,94.514987,123.274209,135.916257,136.827347,136.827347,3.772120
18,1,0,0,50.000000,0.005638,0.000000,0.000000,50.000000,87.416731,89.422995,90.999694,98.629605,117.803725,128.724426,134.995034,136.817213,136.817213,136.817213,136.817213,136.817213,88.419863,94.814650,123.264076,135.906124,136.817213,136.817213,3.729500
19,1,0,0,50.000000,0.005661,0.000000,0.000000,50.000000,88.258419,90.196469,91.629915,98.620773,117.793565,128.714266,134.984874,136.807054,136.807054,136.807054,136.807054,136.807054,89.227444,95.125344,123.253916,135.895964,136.807054,136.807054,3.687662
20,1,0,0,50.000000,0.005685,0.000000,0.000000,50.000000,89.082456,90.956688,92.273256,98.613674,117.783379,128.704080,134.974688,136.796868,136.796868,136.796868,136.796868,136.796868,90.019572,95.443465,123.243730,135.885778,136.796868,136.796868,3.646591
