default 0
time(min),flow(gal/min)
0, 1.700
1, 1.700
2, 1.700
3, 1.700
4, 1.700
5, 1.700
6, 1.700
7, 1.700
8, 1.700
9, 1.133
28, 0.283
29, 1.000
30, 1.000
31, 1.000
32, 0.833
99, 1.367
100, 1.700
101, 1.700
102, 1.700
103, 1.700
104, 1.700
105, 1.700
106, 0.283
629, 1.383
630, 1.700
631, 1.700
632, 1.700
633, 1.700
634, 1.700
635, 1.700
689, 1.367
690, 1.700
691, 1.700
692, 1.700
693, 1.133
718, 0.283
719, 1.000
720, 1.000
721, 0.833
763, 0.300
764, 1.000
765, 1.000
766, 0.833
768, 0.300
769, 1.000
770, 1.000
771, 0.833
958, 0.283
959, 1.000
960, 1.000
961, 0.833
973, 0.300
974, 1.000
975, 1.000
976, 1.000
977, 0.833
1004, 1.383
1005, 1.700
1006, 1.700
1019, 1.367
1020, 1.700
1021, 1.700
1022, 1.700
1023, 1.700
1024, 1.417
